time,wx (rad/s)
"10,6","-0,8"
"10,604","-0,81"
"10,605","-0,81"
"10,609","-0,83"
"10,611","-0,82"
"10,612","-0,83"
"10,616","-0,83"
"10,62","-0,84"
"10,622","-0,85"
"10,622","-0,85"
"10,624","-0,85"
"10,628","-0,86"
"10,633","-0,86"
"10,635","-0,87"
"10,635","-0,87"
"10,637","-0,87"
"10,64","-0,88"
"10,645","-0,88"
"10,647","-0,89"
"10,647","-0,89"
"10,65","-0,9"
"10,653","-0,9"
"10,657","-0,9"
"10,659","-0,91"
"10,66","-0,91"
"10,662","-0,91"
"10,666","-0,92"
"10,67","-0,92"
"10,672","-0,92"
"10,672","-0,92"
"10,675","-0,93"
"10,68","-0,93"
"10,682","-0,94"
"10,682","-0,94"
"10,685","-0,94"
"10,689","-0,94"
"10,691","-0,95"
"10,694","-0,95"
"10,694","-0,95"
"10,697","-0,95"
"10,7","-0,95"
"10,704","-0,95"
"10,706","-0,95"
"10,706","-0,96"
"10,709","-0,96"
"10,713","-0,96"
"10,716","-0,96"
"10,722","-0,96"
"10,723","-0,96"
"10,723","-0,96"
"10,725","-0,96"
"10,729","-0,96"
"10,731","-0,96"
"10,732","-0,96"
"10,737","-0,97"
"10,739","-0,96"
"10,742","-0,96"
"10,742","-0,96"
"10,745","-0,96"
"10,748","-0,96"
"10,753","-0,96"
"10,755","-0,96"
"10,755","-0,96"
"10,759","-0,96"
"10,762","-0,96"
"10,765","-0,96"
"10,767","-0,96"
"10,767","-0,96"
"10,77","-0,96"
"10,773","-0,95"
"10,778","-0,95"
"10,779","-0,95"
"10,78","-0,95"
"10,783","-0,95"
"10,785","-0,95"
"10,79","-0,95"
"10,792","-0,95"
"10,792","-0,95"
"10,797","-0,94"
"10,8","-0,94"
"10,802","-0,94"
"10,802","-0,94"
"10,805","-0,94"
"10,812","-0,94"
"10,812","-0,93"
"10,812","-0,93"
"10,817","-0,93"
"10,82","-0,93"
"10,82","-0,93"
"10,822","-0,93"
"10,825","-0,92"
"10,828","-0,92"
"10,833","-0,92"
"10,834","-0,92"
"10,835","-0,92"
"10,837","-0,91"
"10,84","-0,91"
"10,844","-0,92"
"10,848","-0,91"
"10,848","-0,91"
"10,851","-0,91"
"10,854","-0,91"
"10,857","-0,91"
"10,859","-0,9"
"10,86","-0,9"
"10,863","-0,9"
"10,866","-0,89"
"10,871","-0,89"
"10,871","-0,89"
