time,wx (rad/s)
"13,143","0,38"
"13,149","0,39"
"13,15","0,4"
"13,15","0,4"
"13,156","0,41"
"13,157","0,42"
"13,161","0,42"
"13,161","0,43"
"13,166","0,44"
"13,168","0,44"
"13,172","0,45"
"13,173","0,46"
"13,173","0,46"
"13,177","0,47"
"13,179","0,48"
"13,18","0,48"
"13,182","0,49"
"13,187","0,49"
"13,189","0,5"
"13,193","0,51"
"13,193","0,51"
"13,196","0,51"
"13,2","0,52"
"13,205","0,53"
"13,206","0,53"
"13,208","0,54"
"13,209","0,55"
"13,212","0,55"
"13,212","0,55"
"13,216","0,56"
"13,218","0,57"
"13,221","0,57"
"13,223","0,57"
"13,224","0,58"
"13,229","0,58"
"13,23","0,59"
"13,239","0,6"
"13,241","0,6"
"13,242","0,61"
"13,243","0,61"
"13,244","0,62"
"13,248","0,62"
"13,249","0,63"
"13,251","0,63"
"13,256","0,63"
"13,259","0,64"
"13,26","0,64"
"13,261","0,65"
"13,266","0,66"
"13,267","0,66"
"13,269","0,66"
"13,269","0,67"
"13,279","0,67"
"13,281","0,68"
"13,297","0,68"
"13,298","0,69"
"13,298","0,69"
"13,298","0,69"
"13,299","0,7"
"13,299","0,7"
"13,3","0,7"
"13,3","0,71"
"13,301","0,72"
"13,302","0,72"
"13,302","0,72"
"13,308","0,73"
"13,309","0,73"
"13,312","0,73"
"13,313","0,74"
"13,315","0,74"
"13,32","0,75"
"13,326","0,75"
"13,326","0,75"
"13,327","0,76"
"13,329","0,76"
"13,332","0,77"
"13,335","0,77"
"13,336","0,77"
"13,34","0,78"
"13,343","0,78"
"13,346","0,78"
"13,346","0,78"
"13,348","0,78"
"13,356","0,79"
"13,356","0,79"
"13,356","0,8"
"13,358","0,8"
"13,364","0,81"
"13,364","0,81"
"13,365","0,81"
"13,369","0,81"
"13,371","0,81"
"13,374","0,82"
"13,377","0,82"
"13,377","0,82"
"13,381","0,82"
"13,383","0,83"
"13,391","0,83"
"13,392","0,83"
"13,392","0,83"
"13,393","0,83"
"13,397","0,84"
"13,4","0,84"
"13,401","0,84"
"13,407","0,84"
"13,408","0,84"
"13,41","0,85"
"13,412","0,85"
"13,413","0,85"
"13,416","0,85"
"13,418","0,85"
"13,422","0,85"
"13,424","0,85"
"13,424","0,85"
"13,428","0,85"
"13,432","0,85"
"13,435","0,85"
"13,438","0,85"
"13,439","0,85"
"13,441","0,85"
"13,444","0,85"
"13,448","0,85"
"13,448","0,85"
"13,45","0,85"
"13,454","0,85"
"13,458","0,85"
"13,46","0,85"
"13,46","0,85"
"13,464","0,85"
"13,473","0,85"
"13,474","0,85"
"13,474","0,85"
"13,475","0,85"
"13,479","0,85"
"13,481","0,85"
"13,482","0,85"
"13,484","0,84"
"13,49","0,84"
"13,491","0,84"
"13,492","0,84"
"13,494","0,84"
"13,498","0,84"
"13,5","0,84"
"13,502","0,84"
"13,511","0,84"
"13,512","0,84"
"13,513","0,83"
"13,514","0,83"
"13,514","0,83"
"13,52","0,83"
"13,521","0,83"
"13,53","0,83"
"13,531","0,83"
"13,532","0,82"
"13,532","0,82"
"13,533","0,82"
"13,534","0,82"
"13,535","0,81"
"13,539","0,81"
"13,543","0,81"
"13,545","0,81"
"13,545","0,81"
"13,548","0,81"
"13,55","0,8"
"13,555","0,8"
"13,557","0,8"
"13,558","0,8"
"13,561","0,79"
"13,562","0,79"
"13,567","0,79"
"13,569","0,79"
"13,57","0,79"
"13,573","0,78"
"13,575","0,78"
"13,578","0,78"
"13,582","0,78"
"13,584","0,77"
"13,584","0,77"
"13,588","0,77"
"13,59","0,76"
"13,593","0,76"
"13,596","0,76"
"13,6","0,76"
"13,602","0,75"
"13,603","0,75"
"13,607","0,74"
"13,609","0,74"
"13,615","0,74"
"13,615","0,74"
"13,615","0,73"
"13,62","0,73"
"13,623","0,73"
"13,627","0,72"
"13,627","0,71"
"13,628","0,71"
"13,634","0,71"
"13,636","0,7"
"13,636","0,7"
"13,639","0,69"
"13,642","0,69"
"13,647","0,69"
"13,647","0,68"
"13,649","0,68"
"13,662","0,67"
"13,663","0,67"
"13,664","0,66"
"13,664","0,66"
"13,665","0,65"
"13,665","0,64"
"13,666","0,64"
"13,668","0,63"
"13,679","0,63"
"13,681","0,63"
"13,682","0,62"
"13,682","0,61"
"13,682","0,61"
"13,683","0,6"
"13,685","0,6"
"13,689","0,59"
"13,692","0,59"
"13,692","0,58"
"13,696","0,58"
"13,698","0,57"
"13,704","0,56"
"13,706","0,56"
"13,708","0,55"
"13,708","0,54"
"13,712","0,54"
"13,716","0,53"
"13,718","0,53"
"13,718","0,52"
"13,724","0,52"
"13,726","0,5"
"13,729","0,5"
"13,73","0,5"
"13,732","0,49"
"13,737","0,48"
"13,74","0,48"
"13,74","0,47"
"13,742","0,47"
"13,746","0,46"
"13,748","0,45"
"13,748","0,45"
"13,753","0,44"
"13,755","0,44"
"13,758","0,43"
"13,759","0,42"
"13,761","0,41"
"13,766","0,41"
"13,769","0,4"
"13,769","0,4"
"13,77","0,39"
"13,775","0,38"
"13,779","0,37"
"13,779","0,37"
"13,782","0,36"
"13,798","0,36"
"13,799","0,35"
"13,8","0,34"
"13,801","0,34"
"13,802","0,33"
"13,803","0,32"
"13,804","0,32"
"13,806","0,31"
"13,808","0,3"
"13,81","0,3"
"13,81","0,29"
"13,829","0,28"
"13,831","0,28"
"13,832","0,27"
"13,832","0,26"
"13,833","0,26"
"13,834","0,25"
"13,835","0,24"
"13,837","0,24"
"13,838","0,23"
"13,839","0,22"
"13,84","0,22"
"13,84","0,21"
"13,841","0,21"
"13,844","0,2"
"13,847","0,19"
"13,847","0,18"
"13,851","0,17"
"13,853","0,17"
"13,857","0,16"
"13,859","0,15"
"13,86","0,15"
"13,864","0,14"
"13,867","0,13"
"13,87","0,13"
"13,872","0,12"
"13,872","0,11"
"13,876","0,1"
"13,88","0,1"
"13,882","0,09"
"13,885","0,09"
"13,885","0,08"
"13,888","0,07"
"13,893","0,06"
"13,896","0,06"
"13,896","0,05"
"13,899","0,04"
"13,902","0,03"
"13,908","0,03"
"13,909","0,02"
"13,909","0,01"
"13,917",0
"13,917",0
"13,917","-0,01"
"13,919","-0,02"
"13,923","-0,03"
"13,926","-0,03"
"13,926","-0,04"
"13,928","-0,05"
"13,932","-0,06"
"13,937","-0,06"
"13,937","-0,07"
"13,937","-0,08"
"13,947","-0,08"
"13,948","-0,09"
"13,948","-0,1"
"13,948","-0,11"
"13,952","-0,11"
"13,956","-0,12"
"13,959","-0,13"
"13,96","-0,14"
"13,962","-0,15"
"13,966","-0,15"
"13,969","-0,16"
"13,969","-0,17"
"13,972","-0,17"
"13,976","-0,18"
"13,979","-0,19"
"13,979","-0,2"
"13,981","-0,2"
"13,988","-0,21"
"13,989","-0,22"
"13,989","-0,23"
"13,991","-0,23"
"13,996","-0,24"
"13,999","-0,24"
"13,999","-0,26"
"14,002","-0,26"
"14,006","-0,27"
"14,009","-0,28"
"14,009","-0,29"
"14,011","-0,29"
"14,017","-0,3"
"14,018","-0,31"
"14,018","-0,31"
"14,022","-0,32"
"14,025","-0,33"
"14,029","-0,34"
"14,029","-0,34"
"14,032","-0,35"
"14,048","-0,36"
"14,05","-0,36"
"14,051","-0,37"
"14,053","-0,38"
"14,053","-0,38"
"14,055","-0,39"
"14,058","-0,4"
"14,059","-0,4"
"14,06","-0,41"
"14,06","-0,42"
"14,061","-0,42"
"14,062","-0,43"
"14,066","-0,43"
"14,068","-0,44"
"14,069","-0,45"
"14,076","-0,46"
"14,078","-0,46"
"14,078","-0,47"
"14,078","-0,47"
"14,083","-0,47"
"14,087","-0,48"
"14,091","-0,49"
"14,093","-0,49"
"14,094","-0,5"
"14,097","-0,5"
"14,098","-0,51"
"14,098","-0,51"
"14,104","-0,52"
"14,105","-0,52"
"14,107","-0,53"
"14,108","-0,53"
"14,111","-0,54"
"14,112","-0,54"
"14,118","-0,55"
"14,122","-0,55"
"14,124","-0,56"
"14,125","-0,56"
"14,129","-0,57"
"14,131","-0,58"
"14,132","-0,58"
"14,134","-0,58"
"14,139","-0,59"
"14,141","-0,59"
"14,142","-0,59"
"14,145","-0,6"
"14,15","-0,61"
"14,151","-0,61"
"14,151","-0,61"
"14,154","-0,62"
"14,159","-0,62"
"14,162","-0,63"
"14,162","-0,63"
"14,164","-0,63"
"14,169","-0,64"
"14,171","-0,65"
"14,171","-0,65"
"14,174","-0,65"
"14,179","-0,66"
"14,181","-0,66"
"14,182","-0,67"
"14,185","-0,67"
"14,198","-0,68"
"14,199","-0,68"
"14,2","-0,69"
"14,2","-0,69"
"14,201","-0,69"
"14,202","-0,7"
"14,202","-0,7"
"14,218","-0,71"
"14,22","-0,71"
"14,222","-0,71"
"14,222","-0,72"
"14,223","-0,72"
"14,224","-0,72"
"14,225","-0,73"
"14,226","-0,73"
"14,226","-0,73"
"14,226","-0,74"
"14,23","-0,74"
"14,233","-0,74"
"14,233","-0,75"
"14,238","-0,75"
"14,24","-0,76"
"14,244","-0,76"
"14,247","-0,76"
"14,247","-0,76"
"14,25","-0,76"
"14,255","-0,77"
"14,256","-0,77"
"14,257","-0,78"
"14,259","-0,78"
"14,263","-0,78"
"14,265","-0,78"
"14,266","-0,78"
"14,269","-0,79"
"14,273","-0,79"
"14,276","-0,79"
"14,276","-0,79"
"14,278","-0,8"
"14,283","-0,8"
"14,286","-0,8"
"14,286","-0,8"
"14,289","-0,81"
"14,293","-0,81"
"14,297","-0,81"
"14,298","-0,81"
"14,301","-0,81"
"14,307","-0,81"
"14,308","-0,81"
"14,308","-0,81"
"14,309","-0,81"
"14,314","-0,82"
"14,316","-0,82"
"14,316","-0,82"
"14,32","-0,82"
"14,327","-0,82"
"14,328","-0,82"
"14,328","-0,82"
"14,328","-0,82"
"14,332","-0,82"
"14,335","-0,81"
"14,339","-0,81"
"14,34","-0,81"
"14,341","-0,82"
"14,344","-0,82"
"14,349","-0,82"
"14,35","-0,81"
"14,35","-0,81"
"14,354","-0,82"
"14,357","-0,82"
"14,361","-0,81"
"14,364","-0,81"
"14,364","-0,81"
"14,369","-0,81"
"14,372","-0,81"
"14,373","-0,81"
"14,373","-0,81"
"14,376","-0,81"
"14,382","-0,81"
"14,384","-0,81"
"14,384","-0,81"
"14,388","-0,81"
"14,391","-0,81"
"14,394","-0,81"
"14,394","-0,8"
"14,398","-0,8"
"14,403","-0,8"
"14,405","-0,8"
"14,406","-0,8"
"14,407","-0,8"
"14,412","-0,8"
"14,414","-0,8"
"14,414","-0,79"
"14,418","-0,8"
"14,422","-0,79"
"14,424","-0,79"
"14,424","-0,79"
"14,427","-0,79"
"14,431","-0,79"
"14,435","-0,79"
"14,435","-0,78"
"14,437","-0,78"
"14,442","-0,78"
"14,443","-0,78"
"14,443","-0,77"
"14,45","-0,77"
"14,451","-0,77"
"14,455","-0,77"
"14,455","-0,77"
"14,456","-0,77"
"14,459","-0,76"
"14,464","-0,76"
"14,465","-0,76"
"14,466","-0,76"
"14,469","-0,75"
"14,473","-0,75"
"14,476","-0,75"
"14,476","-0,75"
"14,479","-0,75"
"14,484","-0,74"
"14,487","-0,74"
"14,487","-0,74"
"14,489","-0,73"
"14,494","-0,73"
"14,496","-0,73"
"14,497","-0,72"
"14,499","-0,72"
"14,504","-0,72"
"14,508","-0,71"
"14,508","-0,71"
"14,509","-0,71"
"14,513","-0,7"
"14,517","-0,7"
"14,518","-0,69"
"14,521","-0,69"
"14,523","-0,69"
"14,527","-0,68"
"14,527","-0,68"
"14,53","-0,68"
"14,533","-0,67"
"14,536","-0,67"
"14,536","-0,66"
"14,54","-0,66"
"14,544","-0,65"
"14,547","-0,65"
"14,547","-0,64"
"14,549","-0,64"
"14,553","-0,64"
"14,557","-0,63"
"14,558","-0,63"
"14,559","-0,62"
"14,566","-0,62"
"14,567","-0,61"
"14,567","-0,6"
"14,578","-0,6"
"14,579","-0,6"
"14,579","-0,59"
"14,579","-0,59"
"14,58","-0,58"
"14,584","-0,58"
"14,587","-0,57"
"14,588","-0,57"
"14,593","-0,56"
"14,594","-0,56"
"14,595","-0,55"
"14,595","-0,55"
"14,6","-0,54"
"14,605","-0,53"
"14,609","-0,53"
"14,609","-0,52"
"14,61","-0,52"
"14,614","-0,51"
"14,615","-0,5"
"14,615","-0,5"
"14,619","-0,49"
"14,624","-0,49"
"14,626","-0,48"
"14,627","-0,48"
"14,63","-0,47"
"14,635","-0,46"
"14,638","-0,46"
"14,638","-0,45"
"14,64","-0,45"
"14,644","-0,44"
"14,647","-0,44"
"14,647","-0,43"
"14,651","-0,42"
"14,651","-0,42"
"14,656","-0,41"
"14,658","-0,4"
"14,658","-0,4"
"14,662","-0,39"
"14,664","-0,39"
"14,669","-0,38"
"14,671","-0,37"
"14,671","-0,37"
"14,675","-0,36"
"14,678","-0,36"
"14,683","-0,35"
"14,684","-0,34"
"14,684","-0,33"
"14,69","-0,33"
"14,692","-0,32"
"14,693","-0,32"
"14,696","-0,31"
"14,697","-0,3"
"14,712","-0,3"
"14,714","-0,29"
"14,715","-0,28"
"14,716","-0,28"
"14,717","-0,27"
"14,718","-0,26"
"14,719","-0,25"
"14,72","-0,25"
"14,735","-0,24"
"14,736","-0,24"
"14,737","-0,23"
"14,738","-0,22"
"14,738","-0,21"
"14,739","-0,21"
"14,739","-0,2"
"14,74","-0,19"
"14,74","-0,19"
"14,744","-0,18"
"14,745","-0,17"
"14,747","-0,17"
"14,751","-0,16"
"14,756","-0,16"
"14,759","-0,15"
"14,759","-0,14"
"14,763","-0,14"
"14,763","-0,13"
"14,763","-0,12"
"14,767","-0,11"
"14,77","-0,11"
"14,773","-0,1"
"14,777","-0,09"
"14,777","-0,09"
"14,781","-0,08"
"14,785","-0,07"
"14,785","-0,07"
"14,787","-0,06"
"14,79","-0,05"
"14,793","-0,04"
"14,797","-0,04"
"14,797","-0,03"
"14,801","-0,02"
"14,805","-0,01"
"14,807","-0,01"
"14,807",0
"14,809",0
"14,814","0,01"
"14,816","0,02"
"14,816","0,02"
"14,821","0,03"
"14,825","0,04"
"14,826","0,04"
"14,826","0,06"
"14,831","0,06"
"14,833","0,07"
"14,844","0,08"
"14,846","0,08"
"14,847","0,09"
"14,847","0,1"
"14,848","0,1"
"14,849","0,11"
"14,851","0,11"
"14,864","0,12"
"14,866","0,13"
"14,866","0,14"
"14,867","0,14"
"14,867","0,15"
"14,869","0,16"
"14,87","0,17"
"14,872","0,17"
"14,874","0,18"
"14,877","0,19"
"14,878","0,19"
"14,882","0,2"
"14,889","0,21"
"14,891","0,22"
"14,891","0,22"
"14,892","0,23"
"14,893","0,24"
"14,896","0,24"
"14,897","0,25"
"14,9","0,25"
"14,904","0,26"
"14,906","0,27"
"14,906","0,27"
"14,911","0,28"
"14,914","0,29"
"14,917","0,3"
"14,918","0,31"
"14,923","0,31"
"14,924","0,32"
"14,927","0,33"
"14,927","0,33"
"14,931","0,34"
"14,936","0,34"
"14,936","0,35"
"14,937","0,36"
"14,939","0,37"
"14,944","0,37"
"14,947","0,37"
"14,948","0,38"
"14,951","0,39"
"14,957","0,4"
"14,958","0,4"
"14,959","0,41"
"14,959","0,42"
"14,965","0,42"
"14,968","0,43"
"14,968","0,43"
"14,975","0,44"
"14,975","0,44"
"14,976","0,45"
"14,976","0,46"
"14,98","0,46"
"14,984","0,46"
"14,988","0,48"
"14,989","0,48"
"14,989","0,48"
"14,995","0,49"
"14,997","0,49"
"14,998","0,5"
15,"0,5"
"15,005","0,51"
"15,007","0,51"
"15,007","0,52"
"15,01","0,52"
"15,014","0,53"
"15,017","0,53"
"15,017","0,54"
"15,02","0,54"
"15,024","0,55"
"15,027","0,55"
"15,027","0,56"
"15,031","0,56"
"15,034","0,56"
"15,038","0,57"
"15,04","0,57"
"15,041","0,58"
"15,044","0,58"
"15,047","0,59"
"15,047","0,59"
"15,05","0,6"
"15,056","0,6"
"15,058","0,6"
"15,059","0,61"
"15,059","0,61"
"15,065","0,62"
"15,067","0,62"
"15,068","0,62"
"15,078","0,63"
"15,079","0,64"
"15,087","0,64"
"15,088","0,64"
"15,089","0,64"
"15,089","0,65"
"15,09","0,65"
"15,09","0,66"
"15,091","0,65"
"15,094","0,66"
"15,096","0,67"
"15,097","0,67"
"15,101","0,67"
"15,105","0,68"
"15,108","0,68"
"15,108","0,68"
"15,11","0,69"
"15,115","0,69"
"15,117","0,7"
"15,118","0,7"
"15,122","0,7"
"15,124","0,71"
"15,126","0,71"
"15,127","0,71"
"15,129","0,72"
"15,132","0,72"
"15,135","0,72"
"15,139","0,73"
"15,14","0,73"
"15,142","0,74"
"15,144","0,74"
"15,149","0,74"
"15,151","0,74"
"15,151","0,75"
"15,154","0,75"
"15,156","0,75"
"15,16","0,75"
"15,163","0,76"
"15,166","0,76"
"15,166","0,76"
"15,169","0,76"
"15,171","0,76"
"15,174","0,77"
"15,177","0,77"
"15,182","0,77"
"15,184","0,78"
"15,184","0,78"
"15,187","0,78"
"15,189","0,78"
"15,193","0,78"
"15,195","0,78"
"15,2","0,78"
"15,201","0,78"
"15,202","0,79"
"15,205","0,79"
"15,207","0,79"
"15,212","0,79"
"15,213","0,79"
"15,214","0,79"
"15,218","0,79"
"15,219","0,79"
"15,225","0,79"
"15,226","0,79"
"15,227","0,79"
"15,23","0,79"
"15,231","0,79"
"15,24","0,79"
"15,242","0,79"
"15,243","0,79"
"15,243","0,79"
"15,246","0,79"
"15,25","0,79"
"15,252","0,79"
"15,253","0,8"
"15,255","0,79"
"15,257","0,79"
"15,261","0,79"
"15,265","0,79"
"15,265","0,79"
"15,267","0,78"
"15,272","0,79"
"15,275","0,78"
"15,277","0,78"
"15,277","0,78"
"15,281","0,79"
"15,285","0,78"
"15,289","0,78"
"15,289","0,78"
"15,29","0,78"
"15,295","0,78"
"15,298","0,78"
"15,298","0,78"
"15,302","0,77"
"15,306","0,77"
"15,306","0,77"
"15,306","0,77"
"15,31","0,77"
"15,314","0,76"
"15,317","0,76"
"15,318","0,76"
"15,322","0,76"
"15,324","0,76"
"15,327","0,75"
"15,327","0,75"
"15,33","0,75"
"15,335","0,75"
"15,337","0,75"
"15,337","0,75"
"15,34","0,75"
"15,345","0,75"
"15,347","0,74"
"15,348","0,74"
"15,351","0,74"
"15,362","0,74"
"15,363","0,73"
"15,364","0,73"
"15,364","0,73"
"15,365","0,73"
"15,366","0,73"
"15,367","0,73"
"15,371","0,72"
"15,373","0,72"
"15,381","0,72"
"15,382","0,72"
"15,383","0,71"
"15,383","0,71"
"15,386","0,71"
"15,39","0,7"
"15,392","0,7"
"15,392","0,7"
"15,395","0,7"
"15,398","0,7"
"15,402","0,69"
"15,406","0,69"
"15,407","0,68"
"15,41","0,68"
"15,411","0,68"
"15,416","0,68"
"15,42","0,67"
"15,42","0,67"
"15,423","0,67"
"15,424","0,66"
"15,427","0,66"
"15,428","0,65"
"15,432","0,65"
"15,436","0,65"
"15,437","0,64"
"15,437","0,64"
"15,442","0,63"
"15,445","0,63"
"15,448","0,62"
"15,448","0,62"
"15,451","0,61"
"15,454","0,61"
"15,458","0,61"
"15,459","0,6"
"15,459","0,59"
"15,464","0,59"
"15,467","0,58"
"15,467","0,58"
"15,471","0,57"
"15,473","0,57"
"15,477","0,57"
"15,479","0,56"
"15,479","0,55"
"15,482","0,55"
"15,485","0,54"
"15,489","0,54"
"15,491","0,53"
"15,492","0,53"
"15,495","0,52"
"15,498","0,51"
"15,503","0,51"
"15,513","0,5"
"15,514","0,5"
"15,514","0,49"
"15,514","0,48"
"15,515","0,48"
"15,518","0,48"
"15,518","0,47"
"15,52","0,46"
"15,524","0,45"
"15,526","0,45"
"15,527","0,44"
"15,53","0,44"
"15,533","0,43"
"15,542","0,43"
"15,544","0,42"
"15,545","0,41"
"15,546","0,41"
"15,547","0,4"
"15,549","0,4"
"15,55","0,39"
"15,552","0,38"
"15,557","0,38"
"15,56","0,37"
"15,562","0,37"
"15,562","0,36"
"15,564","0,35"
"15,571","0,35"
"15,573","0,35"
"15,573","0,34"
"15,574","0,34"
"15,578","0,33"
"15,583","0,32"
"15,585","0,31"
"15,585","0,31"
"15,588","0,3"
"15,591","0,3"
"15,594","0,29"
"15,595","0,28"
"15,598","0,28"
"15,6","0,27"
"15,609","0,27"
"15,61","0,26"
"15,61","0,26"
"15,61","0,25"
"15,614","0,24"
"15,619","0,24"
"15,62","0,23"
"15,62","0,22"
"15,626","0,22"
"15,627","0,21"
"15,628","0,21"
"15,63","0,2"
"15,633","0,19"
"15,637","0,19"
"15,638","0,18"
"15,638","0,17"
"15,643","0,17"
"15,646","0,16"
"15,651","0,16"
"15,652","0,15"
"15,652","0,14"
"15,655","0,14"
"15,659","0,13"
"15,663","0,12"
"15,666","0,12"
"15,667","0,11"
"15,668","0,11"
"15,672","0,1"
"15,676","0,09"
"15,677","0,09"
"15,678","0,08"
"15,682","0,07"
"15,686","0,06"
"15,686","0,06"
"15,688","0,05"
"15,693","0,05"
"15,695","0,04"
"15,696","0,03"
"15,698","0,03"
"15,703","0,02"
"15,707","0,01"
"15,707",0
"15,708",0
"15,71","-0,01"
"15,717","-0,02"
"15,717","-0,02"
"15,717","-0,03"
"15,72","-0,04"
"15,723","-0,04"
"15,726","-0,05"
"15,726","-0,06"
"15,731","-0,07"
"15,732","-0,07"
"15,736","-0,08"
"15,739","-0,09"
"15,74","-0,09"
"15,743","-0,1"
"15,745","-0,11"
"15,75","-0,12"
"15,753","-0,12"
"15,753","-0,13"
"15,755","-0,14"
"15,758","-0,14"
"15,762","-0,15"
"15,765","-0,16"
"15,765","-0,17"
"15,768","-0,17"
"15,77","-0,18"
"15,774","-0,19"
"15,776","-0,19"
"15,776","-0,2"
"15,78","-0,21"
"15,784","-0,21"
"15,788","-0,22"
"15,788","-0,23"
"15,789","-0,24"
"15,792","-0,24"
"15,797","-0,25"
"15,799","-0,26"
"15,8","-0,26"
"15,803","-0,27"
"15,804","-0,28"
"15,809","-0,28"
"15,811","-0,29"
"15,812","-0,3"
"15,815","-0,3"
"15,818","-0,31"
"15,821","-0,32"
"15,824","-0,32"
"15,825","-0,33"
"15,828","-0,34"
"15,83","-0,34"
"15,834","-0,35"
"15,84","-0,36"
"15,84","-0,36"
"15,841","-0,37"
"15,843","-0,38"
"15,846","-0,38"
"15,847","-0,38"
"15,849","-0,39"
"15,855","-0,4"
"15,856","-0,4"
"15,859","-0,41"
"15,859","-0,41"
"15,862","-0,42"
"15,866","-0,42"
"15,87","-0,43"
"15,872","-0,43"
"15,873","-0,44"
"15,875","-0,44"
"15,877","-0,45"
"15,882","-0,45"
"15,884","-0,46"
"15,885","-0,46"
"15,888","-0,47"
"15,89","-0,48"
"15,895","-0,48"
"15,897","-0,48"
"15,897","-0,49"
"15,901","-0,49"
"15,906","-0,5"
"15,907","-0,5"
"15,908","-0,51"
"15,91","-0,51"
"15,912","-0,51"
"15,916","-0,52"
"15,924","-0,53"
"15,926","-0,53"
"15,926","-0,53"
"15,927","-0,54"
"15,929","-0,54"
"15,931","-0,54"
"15,931","-0,55"
"15,935","-0,55"
"15,938","-0,56"
"15,939","-0,56"
"15,944","-0,57"
"15,946","-0,57"
"15,947","-0,58"
"15,95","-0,58"
"15,954","-0,58"
"15,956","-0,59"
"15,96","-0,59"
"15,96","-0,59"
"15,963","-0,6"
"15,966","-0,6"
"15,969","-0,6"
"15,978","-0,61"
"15,979","-0,61"
"15,979","-0,61"
"15,979","-0,62"
"15,982","-0,63"
"15,984","-0,63"
"15,985","-0,63"
"15,996","-0,64"
"15,997","-0,65"
"15,997","-0,64"
"15,998","-0,65"
"15,998","-0,65"
16,"-0,65"
"16,004","-0,66"
"16,006","-0,66"
"16,007","-0,67"
"16,01","-0,67"
"16,013","-0,67"
"16,015","-0,68"
"16,019","-0,68"
"16,022","-0,68"
"16,023","-0,69"
"16,025","-0,69"
"16,028","-0,69"
"16,032","-0,7"
"16,034","-0,7"
"16,035","-0,7"
"16,038","-0,71"
"16,04","-0,71"
"16,044","-0,71"
"16,048","-0,71"
"16,048","-0,71"
"16,051","-0,72"
"16,054","-0,72"
"16,057","-0,72"
"16,059","-0,73"
"16,06","-0,73"
"16,063","-0,73"
"16,066","-0,73"
"16,077","-0,74"
"16,078","-0,73"
"16,079","-0,74"
"16,079","-0,74"
"16,08","-0,74"
"16,082","-0,74"
"16,086","-0,75"
"16,087","-0,75"
"16,099","-0,75"
"16,1","-0,75"
"16,101","-0,75"
"16,102","-0,75"
"16,102","-0,75"
"16,103","-0,75"
"16,109","-0,76"
"16,11","-0,76"
"16,11","-0,76"
"16,111","-0,76"
"16,113","-0,76"
"16,117","-0,76"
"16,119","-0,76"
"16,12","-0,76"
"16,123","-0,76"
"16,125","-0,76"
"16,129","-0,76"
"16,132","-0,76"
"16,132","-0,76"
"16,135","-0,76"
"16,138","-0,76"
"16,142","-0,76"
"16,144","-0,76"
"16,145","-0,76"
"16,148","-0,76"
"16,15","-0,76"
"16,154","-0,76"
"16,157","-0,76"
"16,157","-0,76"
"16,16","-0,76"
"16,165","-0,76"
"16,167","-0,76"
"16,168","-0,76"
"16,173","-0,76"
"16,174","-0,76"
"16,177","-0,75"
"16,18","-0,76"
"16,18","-0,76"
"16,183","-0,75"
"16,186","-0,75"
"16,19","-0,75"
"16,192","-0,75"
"16,192","-0,75"
"16,195","-0,75"
"16,198","-0,75"
"16,202","-0,75"
"16,212","-0,75"
"16,213","-0,74"
"16,215","-0,74"
"16,216","-0,74"
"16,216","-0,74"
"16,22","-0,74"
"16,221","-0,74"
"16,222","-0,74"
"16,234","-0,74"
"16,235","-0,73"
"16,236","-0,73"
"16,237","-0,73"
"16,237","-0,73"
"16,238","-0,73"
"16,239","-0,73"
"16,24","-0,72"
"16,243","-0,72"
"16,246","-0,72"
"16,25","-0,72"
"16,252","-0,71"
"16,252","-0,71"
"16,255","-0,71"
"16,258","-0,71"
"16,262","-0,71"
"16,265","-0,7"
"16,265","-0,7"
"16,268","-0,69"
"16,272","-0,69"
"16,275","-0,69"
"16,278","-0,69"
"16,278","-0,68"
"16,281","-0,68"
"16,284","-0,68"
"16,288","-0,68"
"16,289","-0,67"
"16,29","-0,67"
"16,293","-0,66"
"16,298","-0,66"
"16,299","-0,66"
"16,3","-0,66"
"16,306","-0,65"
"16,307","-0,65"
"16,309","-0,64"
"16,312","-0,64"
"16,313","-0,63"
"16,316","-0,63"
"16,318","-0,63"
"16,322","-0,62"
"16,324","-0,62"
"16,325","-0,62"
"16,329","-0,61"
"16,33","-0,61"
"16,334","-0,61"
"16,342","-0,6"
"16,343","-0,6"
"16,343","-0,59"
"16,346","-0,59"
"16,347","-0,58"
"16,347","-0,58"
"16,355","-0,57"
"16,356","-0,57"
"16,356","-0,57"
"16,36","-0,56"
"16,36","-0,56"
"16,363","-0,55"
"16,365","-0,55"
"16,371","-0,55"
"16,372","-0,54"
"16,372","-0,53"
"16,375","-0,53"
"16,377","-0,53"
"16,381","-0,52"
"16,384","-0,52"
"16,385","-0,51"
"16,388","-0,5"
"16,39","-0,5"
"16,395","-0,49"
"16,397","-0,49"
"16,398","-0,48"
"16,4","-0,48"
"16,405","-0,48"
"16,407","-0,47"
"16,407","-0,46"
"16,411","-0,46"
"16,413","-0,45"
"16,417","-0,45"
"16,419","-0,44"
"16,42","-0,44"
"16,423","-0,44"
"16,425","-0,43"
"16,429","-0,42"
"16,431","-0,42"
"16,432","-0,41"
"16,437","-0,4"
"16,438","-0,4"
"16,441","-0,4"
"16,444","-0,39"
"16,447","-0,38"
"16,447","-0,38"
"16,45","-0,37"
"16,453","-0,37"
"16,457","-0,36"
"16,459","-0,36"
"16,459","-0,35"
"16,462","-0,34"
"16,465","-0,34"
"16,47","-0,33"
"16,471","-0,33"
"16,472","-0,32"
"16,475","-0,32"
"16,482","-0,31"
